exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,structure,,BSARCH Curriculum 2023,AR 491,Research Methods for Architecture,3,0,3,4,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 421,Building Technology 5,2,3,3,4,1,false,,,,
1,structure,,BSARCH Curriculum 2023,ARSC 433,Steel and Timber Design,3,0,3,4,1,false,,,,
1,structure,,BSARCH Curriculum 2023,GEM 001,Life and Works of Rizal,3,0,3,4,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 402,Architectural Design 8,1,12,5,4,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 442,Professional Practice 3,3,0,3,4,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 452,Planning 3,3,0,3,4,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 492,Specialization 1,3,0,3,4,2,true,,,,
1,structure,,BSARCH Curriculum 2023,AR 495,Integration Course for Architecture 1,2,3,3,4,2,false,,,,
1,structure,,BSARCH Curriculum 2023,ARSC 443,Architectural Structures,3,0,3,4,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 501,Architectural Design 9,1,12,5,5,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 551,Housing,2,0,2,5,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 541,Business Management and Application for Architecture 1,3,0,3,5,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 591,Specialization 2,2,3,3,5,1,true,,,,
1,structure,,BSARCH Curriculum 2023,AR 595,Integration Course for Architecture 2,2,3,3,5,1,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 502,Architectural Design 10,1,12,5,5,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 542,Business Management and Application for Architecture 2,3,0,3,5,2,false,,,,
1,structure,,BSARCH Curriculum 2023,AR 592,Specialization 3,2,3,3,5,2,true,,,,
1,structure,,BSARCH Curriculum 2023,AR 596,Architectural Internship (200 hours),0,6,2,5,2,false,,,,
1,elective_track,,BSARCH Curriculum 2023,,,,,,,,false,,,Construction Management,
1,elective_track,,BSARCH Curriculum 2023,,,,,,,,false,,,Environmental Planning,
1,elective_track,,BSARCH Curriculum 2023,,,,,,,,false,,,Heritage Conservation,
1,elective_track,,BSARCH Curriculum 2023,,,,,,,,false,,,Quantity Surveying,
1,elective_track_course,,BSARCH Curriculum 2023,AR 492A,"Specialization 1: Principles of Construction Management, Planning and Scheduling",3,0,3,4,2,true,,,Construction Management,
