exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,units,yearLevel,semester,isElective,relatedCourseCode,trackName,notes
1,structure,,BS CPE Curriculum 2018,GEC 002,Readings in Philippine History,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2018,GEC 007,Science Technology and Society,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 413,CpE Design 2,3,4,2,false,,,
1,structure,,BS CPE Curriculum 2018,CPE 414,On-the-Job Training for Computer Engineering,3,4,2,false,,,
1,prerequisite,,BS CPE Curriculum 2018,MATH 019,Calculus 2,3,,,,MATH 018,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 105,Object-Oriented Programming,2,,,,CPE 102,,
1,prerequisite,,BS CPE Curriculum 2018,NSTP 002,National Service Training Program 2,3,,,,NSTP 001,,
1,prerequisite,,BS CPE Curriculum 2018,MATH 021,Differential Equations,3,,,,MATH 019,,
1,prerequisite,,BS CPE Curriculum 2018,ECE 201A,Fundamentals of Electronic Circuits,4,,,,PHYS 111,,
1,prerequisite,,BS CPE Curriculum 2018,EE 200D,Fundamentals of Electrical Circuits,4,,,,PHYS 111,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 200,Data Structures and Algorithms,2,,,,CPE 105,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 202,Database Management System,2,,,,CPE 105,,
1,prerequisite,,BS CPE Curriculum 2018,MATH 022B,Linear Algebra with MATLAB,3,,,,MATH 019,,
1,prerequisite,,BS CPE Curriculum 2018,MATH 022B,Linear Algebra with MATLAB,3,,,,MATH 025,,
1,prerequisite,,BS CPE Curriculum 2018,MATH 026B,Numerical Methods,3,,,,MATH 021,,
1,prerequisite,,BS CPE Curriculum 2018,MATH 026B,Numerical Methods,3,,,,MATH 022B,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 203,Logic Circuits and Design,4,,,,ECE 201A,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 203,Logic Circuits and Design,4,,,,EE 200D,,
1,prerequisite,,BS CPE Curriculum 2018,ECE 308A,Data and Digital Communications,3,,,,PHYS 111,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 204,Computer Engineering Drafting and Design,1,,,,ECE 201A,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 204,Computer Engineering Drafting and Design,1,,,,EE 200D,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 205,Software Design,4,,,,CPE 200,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 205,Software Design,4,,,,CPE 202,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 206,Computer Networks 1,3,,,,CPE 103,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 300,Optimization Techniques,3,,,,MATH 021,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 316,Introduction to HDL,1,,,,CPE 203,,
1,prerequisite,,BS CPE Curriculum 2018,ECE 309A,Feedback and Control Systems,3,,,,MATH 026B,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 317,Fundamentals of Mixed Signals and Sensors,3,,,,ECE 201A,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 306,Computer Networks 2,3,,,,CPE 206,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 023,Engineering Data Analysis,4,,,,MATH 018,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 023,Engineering Data Analysis,4,,,,MATH 025,,
1,prerequisite,,BS CPE Curriculum 2018,BOSH 101,Basic Occupational Safety and Health,3,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 309,Methods of Research,2,,,,CPE 300,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 309,Methods of Research,2,,,,CPE 023,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 310,Computer Architecture and Organization,4,,,,CPE 316,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 311,Operating Systems,3,,,,CPE 205,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 314,Computer Networks 3,3,,,,CPE 306,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 318,Computer System Performance Evaluation,1,,,,CPE 023,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 410,Introduction to Intellectual Property,1,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 408,Emerging Technologies in CpE,3,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 409,Seminars and Field Trips,1,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 308,CpE Laws and Professional Practice,2,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 400,Embedded Systems,4,,,,CPE 310,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 405,Microprocessors,4,,,,CPE 310,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 406,CpE Design 1,3,,,,CPE 309,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 416,Digital Signal Processing and Application,4,,,,MATH 026B,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 407,Computer Networks Design,3,,,,CPE 314,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 413,CpE Design 2,3,,,,GRADUATING,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 414,On-the-Job Training for Computer Engineering,3,,,,4TH YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 207,System Administration Fundamentals,3,,,,CPE 206,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 307,Managing Enterprise Servers,3,,,,CPE 207,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 312,Enterprise Security,3,,,,CPE 307,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 209,Fundamentals of Cybersecurity,3,,,,CPE 206,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 320,Computer Security Management,3,,,,CPE 209,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 315,Forensics of Cybersecurity,3,,,,CPE 320,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 331A,Principles of Robotics,3,,,,CPE 203,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 332,Programming Robots,3,,,,CPE 331A,,
1,prerequisite,,BS CPE Curriculum 2018,CPE 343,Robot Design,3,,,,CPE 332,,
1,prerequisite,,BS CPE Curriculum 2018,TECH 102,Technopreneurship 2,3,,,,ME 304A,,
1,prerequisite,,BS CPE Curriculum 2018,TECH 102,Technopreneurship 2,3,,,,TECH 101,,
1,prerequisite,,BS CPE Curriculum 2018,TECH 103,Technopreneurship 3,3,,,,TECH 102,,
1,prerequisite,,BS CPE Curriculum 2018,TECH 104,Technopreneurship 4,3,,,,TECH 103,,
1,prerequisite,,BS CPE Curriculum 2018,COE 003,Computational Thinking with Python,3,,,,CPE 200,,
1,prerequisite,,BS CPE Curriculum 2018,COE 004,Inferential Thinking by Resampling,3,,,,COE 003,,
1,prerequisite,,BS CPE Curriculum 2018,COE 005,Prediction and Machine Learning,3,,,,COE 004,,
1,prerequisite,,BS CPE Curriculum 2018,RWE 002A,Railway Management Governance and Operations,3,,,,RWE 001,,
1,prerequisite,,BS CPE Curriculum 2018,RWE 003A,Advanced Topic on Railway Engineering,3,,,,RWE 002A,,
1,elective_track,,BS CPE Curriculum 2018,,,,,,,,Systems Administration,
1,elective_track,,BS CPE Curriculum 2018,,,,,,,,Cybersecurity,
1,elective_track,,BS CPE Curriculum 2018,,,,,,,,Robotics,
