exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,units,yearLevel,semester,isElective,relatedCourseCode,trackName,notes
1,metadata,,BS CPE Curriculum 2023,,,,,,,,,generatedAt=1773415331357
1,structure,,BS CPE Curriculum 2023,CHM 001,Chemistry for Engineers,4,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,MATH 141,Calculus 1,4,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,MATH 025,Discrete Mathematics,3,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 101,Computer Engineering as a Discipline,1,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 102,Programming Logic and Design,2,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 103,Computer System Administration and Troubleshooting,1,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 001,Understanding the Self,3,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,PE 001,PATHFit 1,2,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,NSTP 001,National Service Training Program 1,3,1,1,false,,,
1,structure,,BS CPE Curriculum 2023,PHYS 111,Calculus-Based Physics,4,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,MATH 242,Calculus 2,4,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,MATH 022B,Linear Algebra with MATLAB,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,GEE 001B,Gender and Society,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,MATH 027C,Engineering Data Analysis 1,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 104,Computer-Aided Drafting,1,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 105,Object-Oriented Programming,2,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,PE 002,PATHFit 2,2,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,NSTP 002,National Service Training Program 2,3,1,2,false,,,
1,structure,,BS CPE Curriculum 2023,IE 321,Engineering Data Analysis 2,1,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,MATH 021,Differential Equations,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 200,Data Structures and Algorithms,2,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 006,Art Appreciation,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,GEE 003C,The Entrepreneurial Mind,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 106,Data and Digital Communications,3,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,ECE 201A,Fundamentals of Electronic Circuits,4,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,EE 200D,Fundamentals of Electrical Circuits,4,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,PE 003,PATHFit 3,2,2,1,false,,,
1,structure,,BS CPE Curriculum 2023,MATH 026B,Numerical Methods,3,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 202,Database Management System,2,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 203,Logic Circuits and Design,4,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 204,Computer Engineering Drafting and Design,1,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 206,Computer Networks 1,3,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 300,Optimization Techniques,3,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 007,"Science, Technology and Society",3,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 408A,Emerging Technologies 1 in CpE,1,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,PE 004,PATHFit 4,2,2,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 313A,Computer Organization with Assembly Language,2,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 306,Computer Networks 2,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,ECE 309A,Feedback and Control Systems,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 408B,Emerging Technologies 2 in CpE,1,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 316,Introduction to HDL,1,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 308,CpE Laws and Professional Practice,2,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 205A,Software Design 1,2,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,GEE 002B,Living in the IT Era,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,BOSH 101,Basic Occupational Health and Safety,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 002,Readings in Philippine History,3,3,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 318,Computer System Performance Evaluation,1,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 313B,Computer Architecture,2,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 408C,Emerging Technologies 3 in CpE,1,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 405B,Microprocessor Systems,4,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 314,Computer Networks 3,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 205B,Software Design 2,2,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 317,Fundamentals of Mixed Signals and Sensors,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 003,The Contemporary World,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 008,Ethics,3,3,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 309,Methods of Research,2,3,3,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 409,Seminars and Field Trips,1,3,3,false,,,
1,structure,,BS CPE Curriculum 2023,COE 302,Introduction to Intellectual Property,1,3,3,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 311A,Operating Systems,3,3,3,false,,,
1,structure,,BS CPE Curriculum 2023,COE 030,Sustainable Development Engineering,1,3,3,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 400,Embedded Systems,4,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 416,Digital Signal Processing and Application,4,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 415,Developing Applications and Automation,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 412,CpE Design 1,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,GEM 001,Life and Works of Rizal,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,ME 304A,Engineering Economics,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 005,Purposive Communication,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 304A,Project Management,3,4,1,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 413,CpE Design 2,3,4,2,false,,,
1,structure,,BS CPE Curriculum 2023,CPE 414,On-the-Job Training for CpE,3,4,2,false,,,
1,structure,,BS CPE Curriculum 2023,GEC 004,Mathematics in the Modern World,3,4,2,false,,,
1,structure,,BS CPE Curriculum 2023,TECH 101A,Technology Entrepreneurship,3,4,2,false,,,
1,prerequisite,,BS CPE Curriculum 2023,PHYS 111,Calculus-Based Physics,4,,,,MATH 141,,
1,prerequisite,,BS CPE Curriculum 2023,MATH 242,Calculus 2,4,,,,MATH 141,,
1,prerequisite,,BS CPE Curriculum 2023,MATH 022B,Linear Algebra with MATLAB,3,,,,MATH 141,,
1,prerequisite,,BS CPE Curriculum 2023,MATH 022B,Linear Algebra with MATLAB,3,,,,MATH 025,,
1,prerequisite,,BS CPE Curriculum 2023,MATH 027C,Engineering Data Analysis 1,3,,,,MATH 141,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 105,Object-Oriented Programming,2,,,,CPE 102,,
1,prerequisite,,BS CPE Curriculum 2023,PE 002,PATHFit 2,2,,,,PE 001,,
1,prerequisite,,BS CPE Curriculum 2023,NSTP 002,National Service Training Program 2,3,,,,NSTP 001,,
1,prerequisite,,BS CPE Curriculum 2023,IE 321,Engineering Data Analysis 2,1,,,,MATH 027C,,
1,prerequisite,,BS CPE Curriculum 2023,MATH 021,Differential Equations,3,,,,MATH 242,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 200,Data Structures and Algorithms,2,,,,CPE 105,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 106,Data and Digital Communications,3,,,,PHYS 111,,
1,prerequisite,,BS CPE Curriculum 2023,ECE 201A,Fundamentals of Electronic Circuits,4,,,,PHYS 111,,
1,prerequisite,,BS CPE Curriculum 2023,EE 200D,Fundamentals of Electrical Circuits,4,,,,PHYS 111,,
1,prerequisite,,BS CPE Curriculum 2023,PE 003,PATHFit 3,2,,,,PE 002,,
1,prerequisite,,BS CPE Curriculum 2023,MATH 026B,Numerical Methods,3,,,,MATH 021,,
1,prerequisite,,BS CPE Curriculum 2023,MATH 026B,Numerical Methods,3,,,,MATH 022B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 202,Database Management System,2,,,,CPE 200,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 203,Logic Circuits and Design,4,,,,ECE 201A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 203,Logic Circuits and Design,4,,,,EE 200D,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 204,Computer Engineering Drafting and Design,1,,,,ECE 201A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 204,Computer Engineering Drafting and Design,1,,,,EE 200D,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 206,Computer Networks 1,3,,,,CPE 103,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 300,Optimization Techniques,3,,,,MATH 021,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 408A,Emerging Technologies 1 in CpE,1,,,,2ND YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2023,PE 004,PATHFit 4,2,,,,PE 003,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 313A,Computer Organization with Assembly Language,2,,,,CPE 203,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 306,Computer Networks 2,3,,,,CPE 206,,
1,prerequisite,,BS CPE Curriculum 2023,ECE 309A,Feedback and Control Systems,3,,,,MATH 026B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 408B,Emerging Technologies 2 in CpE,1,,,,CPE 408A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 316,Introduction to HDL,1,,,,CPE 203,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 308,CpE Laws and Professional Practice,2,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 205A,Software Design 1,2,,,,CPE 202,,
1,prerequisite,,BS CPE Curriculum 2023,BOSH 101,Basic Occupational Health and Safety,3,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 318,Computer System Performance Evaluation,1,,,,IE 321,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 318,Computer System Performance Evaluation,1,,,,CPE 313A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 313B,Computer Architecture,2,,,,CPE 313A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 408C,Emerging Technologies 3 in CpE,1,,,,CPE 408B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 405B,Microprocessor Systems,4,,,,CPE 313A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 314,Computer Networks 3,3,,,,CPE 306,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 205B,Software Design 2,2,,,,CPE 205A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 317,Fundamentals of Mixed Signals and Sensors,3,,,,ECE 201A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 309,Methods of Research,2,,,,COE 030,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 309,Methods of Research,2,,,,CPE 405B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 409,Seminars and Field Trips,1,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2023,COE 302,Introduction to Intellectual Property,1,,,,3RD YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 311A,Operating Systems,3,,,,CPE 313A,,
1,prerequisite,,BS CPE Curriculum 2023,COE 030,Sustainable Development Engineering,1,,,,CPE 309,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 400,Embedded Systems,4,,,,CPE 405B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 416,Digital Signal Processing and Application,4,,,,MATH 026B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 415,Developing Applications and Automation,3,,,,CPE 314,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 412,CpE Design 1,3,,,,CPE 309,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 304A,Project Management,3,,,,4TH YEAR STANDING,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 413,CpE Design 2,3,,,,GRADUATING,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 414,On-the-Job Training for CpE,3,,,,GRADUATING,,
1,prerequisite,,BS CPE Curriculum 2023,TECH 101A,Technology Entrepreneurship,3,,,,GRADUATING,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 207A,Advanced System Administration,3,,,,CPE 206,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 307B,Automating Server Management,3,,,,CPE 207A,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 312B,Cloud Management and Security,3,,,,CPE 307B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 209,Fundamentals of Cybersecurity,3,,,,CPE 206,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 320,Computer Security Management,3,,,,CPE 209,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 315,Forensics of Cybersecurity,3,,,,CPE 320,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 331B,Internet of Things,3,,,,CPE 203,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 332B,Machine Perception and Robotics,3,,,,CPE 331B,,
1,prerequisite,,BS CPE Curriculum 2023,CPE 343C,Intelligent System Design,3,,,,CPE 332B,,
1,prerequisite,,BS CPE Curriculum 2023,COE 003,Computational Thinking with Python,3,,,,CPE 200,,
1,prerequisite,,BS CPE Curriculum 2023,COE 004A,Predictive Analytics using Machine Learning,3,,,,COE 003,,
1,prerequisite,,BS CPE Curriculum 2023,COE 005A,Advanced Machine Learning and Deep Learning,3,,,,COE 004A,,
1,prerequisite,,BS CPE Curriculum 2023,RWE 002A,"Railway Management, Governance and Operations",3,,,,RWE 001,,
1,prerequisite,,BS CPE Curriculum 2023,RWE 003A,Advanced Topic on Railway Engineering,3,,,,RWE 002A,,
1,elective_track,,BS CPE Curriculum 2023,,,,,,,,Systems Administration,
1,elective_track,,BS CPE Curriculum 2023,,,,,,,,Cybersecurity,
1,elective_track,,BS CPE Curriculum 2023,,,,,,,,Cyber-Physical Systems,
1,elective_track,,BS CPE Curriculum 2023,,,,,,,,Data Science,
1,elective_track,,BS CPE Curriculum 2023,,,,,,,,Railway Engineering,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 207A,Advanced System Administration,3,,,,,Systems Administration,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 307B,Automating Server Management,3,,,,,Systems Administration,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 312B,Cloud Management and Security,3,,,,,Systems Administration,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 209,Fundamentals of Cybersecurity,3,,,,,Cybersecurity,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 320,Computer Security Management,3,,,,,Cybersecurity,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 315,Forensics of Cybersecurity,3,,,,,Cybersecurity,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 331B,Internet of Things,3,,,,,Cyber-Physical Systems,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 332B,Machine Perception and Robotics,3,,,,,Cyber-Physical Systems,
1,elective_track_course,,BS CPE Curriculum 2023,CPE 343C,Intelligent System Design,3,,,,,Cyber-Physical Systems,
1,elective_track_course,,BS CPE Curriculum 2023,COE 003,Computational Thinking with Python,3,,,,,Data Science,
1,elective_track_course,,BS CPE Curriculum 2023,COE 004A,Predictive Analytics using Machine Learning,3,,,,,Data Science,
1,elective_track_course,,BS CPE Curriculum 2023,COE 005A,Advanced Machine Learning and Deep Learning,3,,,,,Data Science,
1,elective_track_course,,BS CPE Curriculum 2023,RWE 001,Introduction to Railway Systems and Engineering,3,,,,,Railway Engineering,
1,elective_track_course,,BS CPE Curriculum 2023,RWE 002A,"Railway Management, Governance and Operations",3,,,,,Railway Engineering,
