exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,metadata,,BSEE Curriculum 2018,,,,,,,,false,,,,source=BSEE PDF;generatedAt=1777862661991
1,structure,,BSEE Curriculum 2018,CHM 001,Chemistry for Engineers,3,3,4,1,1,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 018,Calculus 1,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 025,Discrete Mathematics,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2018,GEC 004,Mathematics in the Modern World,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2018,GEC 005,Purposive Communication,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2018,PE 101,Physical Education 1,2,0,2,1,1,false,,,,
1,structure,,BSEE Curriculum 2018,NSTP 001,National Service Training Program 1,3,0,3,1,1,false,,,,
1,structure,,BSEE Curriculum 2018,PHYS 111,Calculus-Based Physics,3,3,4,1,2,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 019,Calculus 2,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2018,GEC 008,Ethics,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2018,CHM 008,Environmental Science and Engineering,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2018,GEE 001B,GE Elective 1 - Gender and Society,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2018,PE 102,Physical Education 2,2,0,2,1,2,false,,,,
1,structure,,BSEE Curriculum 2018,NSTP 002,National Service Training Program 2,3,0,3,1,2,false,,,,
1,structure,,BSEE Curriculum 2018,EE 200,Electrical Circuits 1,3,3,4,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 021,Differential Equations,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,CE 201B,Engineering Mechanics,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,TECH 101,Introduction to Engineering Entrepreneurship,3,0,3,2,1,false,2,,,
1,structure,,BSEE Curriculum 2018,ME 201A,Thermodynamics,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,GEE 002B,GE Elective 2 - Living in the IT Era,3,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,PE 201,Physical Education 3,2,0,2,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 022B,Linear Algebra with MATLAB,2,0,3,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,CPE 102A,Computer Programming,0,3,1,2,1,false,,,,
1,structure,,BSEE Curriculum 2018,EE 202,Electrical Circuits 2,3,3,4,2,2,false,,,,
1,structure,,BSEE Curriculum 2018,EE 201,Electromagnetics for EE,3,0,2,2,2,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 024D,Engineering Mathematics for EE,3,0,3,2,2,false,,,,
1,structure,,BSEE Curriculum 2018,ECE 200A,Electronic Circuit Devices and Analysis,3,3,4,2,2,false,,,,
1,structure,,BSEE Curriculum 2018,CE 205A,Fundamentals of Deformable Bodies,2,0,2,2,2,false,,,,
1,structure,,BSEE Curriculum 2018,CE 309A,Fluid Mechanics,2,0,2,2,2,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 026A,Numerical Methods and Analysis,2,3,3,2,2,false,,,,
1,structure,,BSEE Curriculum 2018,MATH 027A,Engineering Data Analysis,3,3,4,2,2,false,,,,
